Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
6/1/1989,23.1,29.7,1.25,9.829722222,14.95584,3.52
7/1/1989,22.5,28.8,1.6,8.5175,11.88,3.13
8/1/1989,22.2,28.7,1.78,7.958333333,11.52576,3.17
9/1/1989,22.3,29.4,1.37,8.232222222,12.16512,3.19
10/1/1989,22.6,30.4,1.2,9.717777778,16.53696,3.83
11/1/1989,23.6,32.9,1.19,10.18527778,18.51552,4.31
12/1/1989,23.1,32.3,1.19,10.21361111,16.0272,3.82
1/1/1990,23.7,32.2,1.65,9.834722222,15.99264,4.03
2/1/1990,23.5,33.4,1.55,10.01777778,18.64512,4.58
3/1/1990,24.9,35.1,1.6,10.06777778,21.9456,5.39
4/1/1990,24.3,32.6,1.82,10.13194444,18.1008,4.61
5/1/1990,24,31.3,1.68,10.10388889,16.85664,4.17
6/1/1990,23.2,30.6,1.58,9.528055556,14.73984,3.73
7/1/1990,22.8,28.1,2.18,8.153055556,10.91232,3.08
8/1/1990,22.6,28.3,1.77,7.983888889,11.24928,3.05
9/1/1990,22.7,29.5,1.4,8.550555556,12.69216,3.27
10/1/1990,23.4,30.6,1.13,9.460833333,16.18272,3.76
11/1/1990,24.3,32.1,1.32,9.864444444,16.22592,3.93
12/1/1990,23.8,31.9,1.25,9.768888889,14.03136,3.5
1/1/1991,23,31.8,1.49,9.852222222,16.2,3.95
2/1/1991,24.3,32.2,1.81,9.890555556,14.63616,3.93
3/1/1991,25.1,32.4,1.5,10.14805556,18.02304,4.37
4/1/1991,23.5,31.1,1.6,10.1925,17.44416,4.23
5/1/1991,23.3,30.6,1.82,9.554166667,15.86304,4.02
6/1/1991,22.4,30.2,1.27,9.468333333,14.23008,3.5
7/1/1991,22.3,28.2,2.08,8.767222222,11.52576,3.19
8/1/1991,22,27.2,2.26,9.158055556,12.3552,3.24
9/1/1991,22.2,28.9,1.44,8.691944444,12.60576,3.23
10/1/1991,21.7,28.9,1.55,9.061111111,15.0768,3.63
11/1/1991,22.8,31.1,1.24,10.12694444,17.21952,3.96
12/1/1991,21.7,31.7,1.11,10.02361111,16.91712,3.85
1/1/1992,20,32.1,1.7,10.22416667,19.5264,4.63
2/1/1992,22.7,33.9,1.58,10.07277778,20.29536,4.92
3/1/1992,24.8,33.5,1.91,10.13361111,19.21536,4.9
4/1/1992,24.7,32.7,1.64,10.34111111,18.63648,4.61
5/1/1992,23.2,30.9,1.48,10.35138889,17.53056,4.17
6/1/1992,21.8,29.2,1.92,9.054722222,14.1264,3.67
7/1/1992,21.8,27.7,2.4,8.073611111,10.48896,3.13
8/1/1992,21.5,27.2,2.32,8.5525,12.72672,3.35
9/1/1992,22.1,27.9,1.63,8.283888889,11.94048,3.09
10/1/1992,22,29.9,1.27,9.918333333,16.00992,3.75
11/1/1992,21.5,31.5,1.05,10.09166667,18.07488,4.03
12/1/1992,22.6,33.2,1.18,10.19694444,16.65792,4
1/1/1993,20.1,32.6,1.47,10.16,18.75744,4.44
2/1/1993,22.6,33.9,1.72,9.983611111,17.1072,4.56
3/1/1993,23,32.4,1.52,10.17555556,18.50688,4.5
4/1/1993,23.4,32.7,1.74,10.03888889,18.82656,4.73
5/1/1993,23.1,31.4,1.76,10.20388889,17.69472,4.38
6/1/1993,22.3,29.5,1.53,9.567222222,15.23232,3.68
7/1/1993,21.7,28,1.96,8.761944444,12.10464,3.24
8/1/1993,21.8,28.1,1.9,9.205833333,12.82176,3.34
9/1/1993,21.8,29.3,1.17,8.797777778,12.4848,3.15
10/1/1993,22.4,30.6,0.94,9.957777778,16.55424,3.73
11/1/1993,22.5,32.2,1.15,9.917777778,15.41376,3.76
12/1/1993,22.3,32.3,0.93,9.980277778,15.99264,3.66
1/1/1994,22.4,31.6,1.49,9.808055556,15.8544,3.89
2/1/1994,24.2,32.8,1.58,10.00333333,18.11808,4.42
3/1/1994,24.6,32.9,1.82,10.195,18.4896,4.66
4/1/1994,23.9,31.7,1.72,10.26194444,18.45504,4.5
5/1/1994,23.1,31,1.53,10.40361111,18.89568,4.41
6/1/1994,21.8,29.9,1.72,9.249722222,14.01408,3.67
7/1/1994,21.9,28.1,2.22,9.128611111,12.49344,3.38
8/1/1994,22.1,27.5,2.26,8.186944444,11.60352,3.18
9/1/1994,22.1,28.9,1.9,8.437777778,11.81952,3.31
10/1/1994,21.8,29.8,0.94,9.159166667,14.27328,3.33
11/1/1994,21.9,31.9,0.87,10.26972222,18.22176,3.98
12/1/1994,21.9,31.2,1.33,10.3275,18.99072,4.21
1/1/1995,20.8,33.3,1.26,10.02,17.13312,4.15
2/1/1995,23.2,33.6,1.4,9.896111111,16.13952,4.16
3/1/1995,24.2,32.3,1.47,10.17777778,17.53056,4.29
4/1/1995,23.9,32.2,1.52,10.10611111,18.36864,4.47
5/1/1995,23.1,31.5,1.35,10.47083333,18.5328,4.33
6/1/1995,22.2,29.8,1.54,9.566111111,14.70528,3.65
7/1/1995,22.3,28.4,1.92,8.341666667,11.06784,3.1
8/1/1995,22.3,28,1.89,8.482777778,10.73088,3
9/1/1995,22.1,29.1,1.92,8.68,11.72448,3.33
10/1/1995,22.2,29.7,1.24,9.254722222,14.54112,3.49
11/1/1995,21.8,32.3,0.99,10.13,17.55648,3.99
12/1/1995,22.2,32.6,1.13,9.967777778,14.66208,3.63
1/1/1996,23.5,31.8,1.4,9.581666667,14.1264,3.59
2/1/1996,23.9,32.8,1.96,9.723055556,14.37696,4.08
3/1/1996,24.4,32.6,1.43,10.03527778,16.90848,4.2
4/1/1996,23.6,32.1,1.5,10.27361111,18.3168,4.45
5/1/1996,23,31.4,1.55,9.754722222,16.7616,4.15
6/1/1996,22.2,29.8,1.6,8.781666667,13.176,3.46
7/1/1996,21.7,29,1.8,8.855555556,12.20832,3.33
8/1/1996,21.6,27.8,1.93,7.824166667,10.66176,3.03
9/1/1996,21.9,28.1,1.94,9.049722222,13.29696,3.43
10/1/1996,22.1,29.6,1.25,9.17,15.73344,3.66
11/1/1996,22.7,31.8,1.22,10.2475,19.24128,4.32
12/1/1996,22.7,32.4,1.24,9.845,14.53248,3.65
1/1/1997,22.9,32.5,1.27,9.609722222,15.04224,3.74
2/1/1997,21.9,34.2,1.53,10.23611111,20.70144,5
3/1/1997,24.2,32.1,1.28,10.17472222,17.8416,4.22
4/1/1997,23.5,31.3,1.67,10.09611111,17.65152,4.32
5/1/1997,22.5,30.8,1.55,10.35138889,18.42048,4.34
6/1/1997,22,29.3,1.55,8.832222222,13.14144,3.38
7/1/1997,21.7,28.1,2.03,8.674444444,12.9168,3.39
8/1/1997,21.5,28.2,1.61,8.335277778,13.11552,3.3
9/1/1997,22.4,30,1.26,9.575277778,14.27328,3.51
10/1/1997,22.1,30.7,0.78,9.727222222,16.51968,3.65
11/1/1997,23,31.7,1.05,10.10027778,17.51328,3.96
12/1/1997,22.9,32.1,1.15,10.27166667,17.4528,3.98
1/1/1998,21.5,32.7,1.43,10.2325,18.86112,4.42
2/1/1998,24,34.4,1.58,10.01055556,19.42272,4.84
3/1/1998,25.3,35,1.3,10.25694444,21.0816,5.07
4/1/1998,25.4,33.6,1.64,10.34305556,19.82016,4.9
5/1/1998,24.2,32,1.41,10.31638889,18.75744,4.43
6/1/1998,22.4,30.7,1.11,10.23388889,16.39872,3.79
7/1/1998,22.8,28.2,1.91,8.576111111,12.312,3.21
8/1/1998,21.5,28.2,1.84,7.533611111,12.744,3.34
9/1/1998,22.2,29.1,1.48,8.813888889,12.67488,3.28
10/1/1998,22.4,30.4,1.18,9.500277778,15.8112,3.72
11/1/1998,23.2,32.5,1.04,10.29944444,17.89344,4.09
12/1/1998,22.7,32.7,1.05,10.16861111,16.81344,3.89
1/1/1999,22.9,32.3,1.33,9.811111111,15.53472,3.82
2/1/1999,23.5,32.4,1.57,9.958611111,16.70112,4.18
3/1/1999,24.1,32.5,1.41,10.32888889,18.00576,4.36
4/1/1999,23.4,32.2,1.36,10.36388889,19.656,4.6
5/1/1999,23.3,31.8,1.25,10.41722222,18.7488,4.35
6/1/1999,22.4,30.4,1.06,9.501111111,14.7312,3.49
7/1/1999,21.9,28.6,1.76,9.354722222,11.87136,3.2
8/1/1999,21.4,28,1.82,9.004166667,12.77856,3.32
9/1/1999,21.9,28.3,1.68,9.411111111,12.6576,3.27
10/1/1999,22.1,29.3,1.24,8.5625,13.53024,3.31
11/1/1999,22.8,32,0.89,9.971388889,17.02944,3.83
12/1/1999,22.2,33.1,1.06,10.34944444,17.80704,4.07
1/1/2000,23.3,33.3,1.33,9.914166667,15.7248,3.95
2/1/2000,23.2,32.8,1.59,10.12111111,20.15712,4.75
3/1/2000,24.4,34,1.42,10.44138889,21.40128,5.07
4/1/2000,23.9,33,1.47,10.4475,19.54368,4.73
5/1/2000,23.7,32.2,1.43,10.60305556,19.38816,4.57
6/1/2000,22.1,30,1.45,8.760555556,13.54752,3.47
7/1/2000,22,28.5,1.78,8.921666667,12.97728,3.34
8/1/2000,22,27.4,1.61,9.100555556,11.9664,3.02
9/1/2000,21.8,29.5,1.64,8.866111111,11.664,3.28
10/1/2000,21.8,30.7,1.14,9.94,16.20864,3.8
11/1/2000,22.8,32.5,1.28,10.085,18.36,4.3
12/1/2000,22,33.6,1.26,10.13027778,17.08992,4.16
1/1/2001,21.8,33,1.35,9.731388889,17.65152,4.23
2/1/2001,23.7,33.5,1.57,9.990277778,19.18944,4.68
3/1/2001,24.7,34,1.57,10.31555556,19.14624,4.79
4/1/2001,24.1,32.4,1.57,10.20694444,18.74016,4.57
5/1/2001,24.2,31.8,1.45,10.62055556,19.10304,4.48
6/1/2001,22.5,29.4,1.46,9.830555556,14.54976,3.53
7/1/2001,22.7,28.6,1.81,8.621388889,11.6208,3.14
8/1/2001,21.7,27.8,1.93,7.720833333,10.95552,3.06
9/1/2001,22.6,28.5,1.66,9.194722222,13.10688,3.32
10/1/2001,23,30.6,1.16,9.956666667,17.34048,3.95
11/1/2001,23.9,32.3,1.26,9.961111111,17.20224,4.08
12/1/2001,23.7,33.3,1.26,10.09916667,16.21728,3.98
1/1/2002,22.8,31.1,1.3,10.14166667,18.32544,4.07
2/1/2002,24,33.4,1.65,9.966666667,17.86752,4.51
3/1/2002,24.6,33.8,1.52,10.21583333,19.0512,4.73
4/1/2002,24,32.4,1.49,10.32638889,19.14624,4.6
5/1/2002,23.7,32.3,1.61,10.53888889,19.9152,4.75
6/1/2002,22.4,30.4,1.75,9.229722222,13.94496,3.71
7/1/2002,22.6,29.3,1.77,8.064444444,10.7568,3.1
8/1/2002,22.4,28.1,1.76,8.558611111,11.81952,3.11
9/1/2002,22.5,28.8,1.53,9.480277778,14.1264,3.46
10/1/2002,22.6,29.7,1.09,9.460277778,15.0336,3.49
11/1/2002,23.7,32,1.08,9.994444444,17.42688,3.99
12/1/2002,22.8,32.8,1.23,10.21027778,16.85664,4.01
1/1/2003,22.9,32.7,1.34,9.928611111,16.09632,3.95
2/1/2003,24.8,33.5,1.7,10.08333333,16.57152,4.33
3/1/2003,25.3,33.9,1.4,10.30472222,19.71648,4.77
4/1/2003,24,31.9,1.58,9.906111111,17.8848,4.38
5/1/2003,24,32.2,1.78,10.24555556,18.55872,4.6
6/1/2003,22.5,29.5,1.46,9.151944444,13.33152,3.37
7/1/2003,22.1,28.6,1.76,9.676388889,14.23872,3.52
8/1/2003,22.2,28.3,1.88,8.369722222,11.8368,3.2
9/1/2003,23,29.2,1.4,9.143055556,11.98368,3.12
10/1/2003,23.6,30.7,1.15,9.158611111,14.5584,3.52
11/1/2003,23.1,32.4,1.04,9.899444444,15.86304,3.78
12/1/2003,23.2,32.6,1.15,10.16777778,16.51968,3.89
1/1/2004,23.2,32.3,1.28,9.781944444,15.93216,3.85
2/1/2004,24.2,32.9,1.52,10.02416667,17.76384,4.35
3/1/2004,25.4,33,1.49,10.25388889,19.88928,4.73
4/1/2004,24.2,32,1.64,10.14388889,16.73568,4.24
5/1/2004,23.8,30.3,1.74,9.619444444,16.00128,3.94
