Station name:,,,,,,
Oyan Dam Site,,,,,Latitude (decimals):,7.4
,,,,,,
Elevation (m):,,174,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
11/1/1988,23.4,33.1,1.02,9.681388889,17.86752,4.12
12/1/1988,22.2,32.5,0.92,9.907777778,15.99264,3.66
1/1/1989,19.3,33.8,1.32,10.41583333,20.32128,4.67
2/1/1989,22.4,34.6,1.53,10.30388889,21.02976,5.08
3/1/1989,24,34.2,1.46,9.853055556,18.52416,4.67
4/1/1989,24.2,33.4,1.85,9.919166667,19.44,4.95
5/1/1989,23.6,31.8,1.44,9.706666667,18.49824,4.4
6/1/1989,22.7,30.3,1.24,9.554166667,15.31008,3.65
7/1/1989,22.2,29.2,1.5,8.432222222,11.99232,3.18
8/1/1989,21.8,29,1.64,7.9975,11.35296,3.16
9/1/1989,21.9,29.8,1.23,7.911944444,12.11328,3.17
10/1/1989,22.1,31,1.06,9.303055556,16.51968,3.83
11/1/1989,23.1,33.8,1.11,9.891111111,18.73152,4.38
12/1/1989,22.6,33.4,1.01,10.00138889,16.13952,3.82
1/1/1990,23.5,33.5,1.4,9.6425,16.416,4.1
2/1/1990,23,34.7,1.45,9.980277778,19.1808,4.76
3/1/1990,24.4,36.3,1.5,10.11138889,22.41216,5.57
4/1/1990,23.9,33.5,1.88,9.851666667,18.30816,4.82
5/1/1990,23.6,32,1.58,9.536666667,17.08992,4.28
6/1/1990,22.9,31.2,1.5,8.970833333,14.80896,3.8
7/1/1990,22.5,28.6,1.95,7.735833333,10.8,3.09
8/1/1990,22.3,28.8,1.5,7.547777778,11.0592,3
9/1/1990,22.2,30,1.24,8.386666667,12.66624,3.27
10/1/1990,22.8,31.2,1.05,9.026666667,16.09632,3.77
11/1/1990,23.8,33,1.22,9.462222222,16.32096,4
12/1/1990,23.3,33.1,1.12,9.322777778,14.13504,3.56
1/1/1991,22.8,33.2,1.37,9.728055556,16.51104,4.08
2/1/1991,23.8,33.6,1.71,9.6075,15.0768,4.16
3/1/1991,24.6,33.6,1.48,9.830277778,18.34272,4.57
4/1/1991,23.1,31.9,1.69,9.765833333,17.51328,4.41
5/1/1991,23,31.3,1.68,9.101388889,15.82848,4.07
6/1/1991,22.1,30.8,1.26,9.134722222,14.24736,3.57
7/1/1991,22,28.6,1.88,8.443333333,11.25792,3.16
8/1/1991,21.6,27.6,2.02,8.8275,11.82816,3.19
9/1/1991,21.7,29.4,1.25,8.684722222,12.64896,3.23
10/1/1991,21.2,29.6,1.32,8.528888889,14.97312,3.61
11/1/1991,22.3,31.9,1.16,9.624166667,17.4528,4.04
12/1/1991,21.2,32.8,1.01,9.970833333,16.91712,3.88
1/1/1992,19.8,33.3,1.63,10.29833333,19.66464,4.76
2/1/1992,22.2,35.1,1.51,10.16888889,20.64096,5.08
3/1/1992,24.3,34.7,1.8,9.969166667,19.59552,5.1
4/1/1992,24.3,33.6,1.73,9.903333333,18.7056,4.8
5/1/1992,22.8,31.6,1.41,9.741111111,17.53056,4.24
6/1/1992,21.5,29.8,1.73,9.029444444,14.00544,3.68
7/1/1992,21.4,28.2,2.12,7.473333333,10.13472,3.1
8/1/1992,21.1,27.5,2.04,8.294166667,12.25152,3.28
9/1/1992,21.5,28.3,1.47,7.946944444,11.74176,3.09
10/1/1992,21.4,30.6,1.16,9.367777778,15.90624,3.76
11/1/1992,21.1,32.2,1.08,9.869722222,18.13536,4.12
12/1/1992,22.1,34.2,1.02,10.03861111,16.66656,3.97
1/1/1993,20,33.8,1.42,10.24277778,19.0512,4.58
2/1/1993,22.1,35.2,1.62,9.896944444,17.6688,4.76
3/1/1993,22.5,33.6,1.48,9.871944444,18.73152,4.67
4/1/1993,23,33.6,1.82,9.693333333,18.93024,4.93
5/1/1993,22.8,32.1,1.65,9.475,17.77248,4.46
6/1/1993,22,30.1,1.46,9.269166667,15.4224,3.77
7/1/1993,21.3,28.5,1.71,8.320277778,11.72448,3.19
8/1/1993,21.4,28.4,1.72,8.703888889,12.53664,3.3
9/1/1993,21.2,29.7,1.14,8.467777778,12.34656,3.18
10/1/1993,21.8,31.3,0.91,9.332777778,16.31232,3.74
11/1/1993,22.1,33.1,1.08,9.444444444,15.78528,3.86
12/1/1993,21.8,33.4,0.87,9.986666667,16.10496,3.71
1/1/1994,22.2,32.9,1.37,9.801388889,16.30368,4.03
2/1/1994,23.7,34.1,1.54,9.962222222,18.6624,4.66
3/1/1994,24.1,34.1,1.72,9.846388889,18.9648,4.87
4/1/1994,23.5,32.6,1.8,10.00583333,18.52416,4.7
5/1/1994,22.8,31.7,1.41,10.02444444,19.19808,4.5
6/1/1994,21.5,30.4,1.6,9.054166667,14.17824,3.72
7/1/1994,21.6,28.5,2.03,8.921944444,12.32928,3.38
8/1/1994,21.7,27.8,2.03,7.673333333,11.03328,3.11
9/1/1994,21.6,29.3,1.67,8.426666667,11.664,3.28
10/1/1994,21.3,30.4,0.9,8.672222222,14.10048,3.34
11/1/1994,21.4,32.6,0.9,9.9675,18.46368,4.08
12/1/1994,21.7,31.8,1.3,10.38583333,18.95616,4.24
1/1/1995,20.6,34.6,1.21,10.08861111,17.6256,4.3
2/1/1995,22.7,34.9,1.39,9.885,16.81344,4.4
3/1/1995,23.7,33.5,1.45,9.779722222,17.85888,4.48
4/1/1995,23.5,33.1,1.65,9.749722222,18.2736,4.65
5/1/1995,22.8,32.1,1.31,9.831111111,18.61056,4.41
6/1/1995,21.9,30.4,1.48,9.168611111,14.80896,3.73
7/1/1995,22,28.8,1.77,8.170555556,11.1024,3.13
8/1/1995,21.9,28.4,1.76,8.225,10.52352,3.01
9/1/1995,21.6,29.5,1.68,8.376111111,11.46528,3.28
10/1/1995,21.6,30.4,1.14,8.810833333,14.2992,3.5
11/1/1995,21.3,33,1.01,9.885555556,17.7984,4.1
12/1/1995,21.7,33.7,1,9.640833333,14.71392,3.64
1/1/1996,23.2,33.2,1.2,9.366388889,14.6016,3.69
2/1/1996,23.4,34.1,1.74,9.368611111,14.99904,4.25
3/1/1996,23.9,33.8,1.41,9.653888889,17.34048,4.41
4/1/1996,23.2,33,1.62,9.865555556,18.42048,4.66
5/1/1996,22.7,32.1,1.46,9.432777778,16.96896,4.24
6/1/1996,22,30.4,1.49,8.528611111,13.20192,3.5
7/1/1996,21.4,29.4,1.69,8.8075,12.00096,3.33
8/1/1996,21.3,28.2,1.8,7.569166667,10.30752,3.01
9/1/1996,21.4,28.6,1.68,8.5275,12.8304,3.37
10/1/1996,21.5,30.3,1.15,8.978888889,15.51744,3.67
11/1/1996,22.3,32.6,1.16,10.14333333,19.55232,4.41
12/1/1996,22.2,33.6,1.04,9.499722222,14.69664,3.65
1/1/1997,22.7,33.9,1.17,9.481111111,15.44832,3.87
2/1/1997,21.5,35.5,1.61,10.27972222,21.0816,5.28
3/1/1997,23.7,33.3,1.29,9.905,18.11808,4.41
4/1/1997,23,32.1,1.75,9.809722222,17.67744,4.49
5/1/1997,22.2,31.5,1.41,9.928888889,18.58464,4.39
6/1/1997,21.7,29.9,1.45,8.642777778,13.3056,3.45
7/1/1997,21.3,28.5,1.84,8.729166667,12.73536,3.38
8/1/1997,21.1,28.5,1.57,8.392777778,12.81312,3.31
9/1/1997,21.9,30.4,1.18,9.1675,14.20416,3.52
10/1/1997,21.6,31.3,0.82,9.261666667,16.4592,3.71
11/1/1997,22.5,32.5,1.02,9.682222222,17.73792,4.05
12/1/1997,22.4,33.2,1.04,10.21833333,17.53056,4.02
1/1/1998,21.3,34.1,1.4,10.24194444,19.07712,4.58
2/1/1998,23.5,35.7,1.51,9.985833333,19.83744,5.02
3/1/1998,24.8,36.2,1.33,10.11694444,21.45312,5.29
4/1/1998,25,34.5,1.73,10.13222222,19.94976,5.1
5/1/1998,23.9,32.7,1.28,10.17583333,18.88704,4.49
6/1/1998,22.1,31.3,1.05,9.952222222,16.416,3.83
7/1/1998,22.5,28.7,1.66,8.496111111,12.15648,3.19
8/1/1998,21.2,28.5,1.65,7.545,12.312,3.27
9/1/1998,21.8,29.6,1.3,8.707222222,12.54528,3.25
10/1/1998,21.9,31,1.07,8.950277778,15.64704,3.71
11/1/1998,22.7,33.3,1,9.801111111,18.13536,4.17
12/1/1998,22.2,33.8,0.97,9.980555556,16.90848,3.94
1/1/1999,22.6,33.7,1.21,9.705,15.984,3.96
2/1/1999,23,33.7,1.51,9.838611111,17.31456,4.41
3/1/1999,23.6,33.8,1.36,9.999444444,18.37728,4.55
4/1/1999,23,33.1,1.48,10.23194444,19.71648,4.79
5/1/1999,22.9,32.5,1.18,9.934722222,19.15488,4.46
6/1/1999,22.1,31,1.11,9.409166667,14.98176,3.62
7/1/1999,21.5,29.1,1.67,9.0725,11.72448,3.24
8/1/1999,21,28.3,1.68,8.656944444,12.4416,3.28
9/1/1999,21.4,28.7,1.42,8.849166667,12.27744,3.19
10/1/1999,21.5,30,1.07,8.339444444,13.29696,3.28
11/1/1999,22.3,32.8,0.89,9.664722222,17.15904,3.91
12/1/1999,21.7,34.2,0.98,10.33833333,17.80704,4.11
1/1/2000,23.1,34.7,1.18,9.783055556,16.13952,4.05
2/1/2000,22.7,34.1,1.63,10.19083333,20.65824,5.02
3/1/2000,23.8,35.1,1.43,10.25722222,21.91968,5.3
4/1/2000,23.5,33.9,1.59,10.12,19.73376,4.95
5/1/2000,23.4,32.9,1.29,10.12083333,19.68192,4.64
6/1/2000,21.8,30.6,1.37,8.607777778,13.7808,3.55
7/1/2000,21.7,28.9,1.61,8.509722222,12.9168,3.34
8/1/2000,21.5,27.7,1.5,8.552222222,11.85408,3.03
9/1/2000,21.4,30,1.42,8.532777778,11.72448,3.26
10/1/2000,21.3,31.4,1.04,9.427222222,15.96672,3.78
11/1/2000,22.3,33.3,1.14,9.693611111,18.55872,4.32
12/1/2000,21.5,34.6,1.09,9.9375,17.13312,4.14
1/1/2001,21.5,34.4,1.2,9.979444444,18.04032,4.32
2/1/2001,23.2,34.8,1.55,10.08333333,19.71648,4.92
3/1/2001,23.3,36.1,1.47,10.06111111,19.51776,5.08
4/1/2001,23.7,33.3,1.68,9.918333333,18.72288,4.76
5/1/2001,24.2,32.2,1.35,10.18166667,19.42272,4.54
6/1/2001,22.1,30.2,1.4,9.501944444,14.75712,3.65
7/1/2001,22.4,29.1,1.65,8.506944444,11.74176,3.18
8/1/2001,21.4,28.1,1.73,7.516666667,10.37664,2.97
9/1/2001,22.1,29.1,1.44,8.924722222,12.93408,3.31
10/1/2001,22.4,31.2,1.05,9.479166667,17.38368,3.97
11/1/2001,23.2,33.3,1.12,9.638888889,17.5392,4.16
12/1/2001,23,34.6,1.06,9.905555556,16.33824,3.99
1/1/2002,22.5,32.4,1.28,10.27083333,18.64512,4.24
2/1/2002,23.3,34.9,1.57,9.979722222,18.46368,4.76
3/1/2002,24,35.1,1.45,9.990277778,19.49184,4.93
4/1/2002,23.7,33.2,1.55,9.941388889,19.10304,4.73
5/1/2002,23.5,33,1.41,10.16583333,20.45088,4.84
6/1/2002,22.1,31,1.59,8.71,14.0832,3.75
7/1/2002,22.4,29.7,1.56,8.293333333,11.07648,3.12
8/1/2002,21.9,28.5,1.59,8.466944444,11.7072,3.12
9/1/2002,22,29.3,1.37,9.090833333,14.10048,3.47
10/1/2002,22,30.2,1.04,8.982222222,15.00768,3.52
11/1/2002,23.2,32.9,1.03,9.557222222,17.52192,4.06
12/1/2002,22.3,33.9,1.07,9.990833333,16.848,4.01
1/1/2003,22.6,34.1,1.17,9.799166667,16.49376,4.04
2/1/2003,24.2,34.9,1.55,9.860833333,17.09856,4.52
3/1/2003,24.8,35.1,1.37,10.12055556,20.03616,4.95
4/1/2003,23.7,32.8,1.68,9.476666667,17.94528,4.57
5/1/2003,23.6,32.9,1.58,9.935555556,18.98208,4.68
6/1/2003,22.2,30.1,1.39,9.137222222,13.45248,3.44
7/1/2003,21.8,29.1,1.63,9.296388889,13.94496,3.51
8/1/2003,21.8,28.6,1.68,7.823888889,11.51712,3.15
9/1/2003,22.4,29.6,1.31,8.623055556,11.89728,3.14
10/1/2003,23.1,31.3,1.13,9.080555556,14.59296,3.59
11/1/2003,22.5,33.1,1.01,9.531388889,16.0272,3.85
12/1/2003,22.7,33.7,1.04,10.09,16.64928,3.94
1/1/2004,22.9,33.7,1.14,9.890555556,16.33824,3.96
