Station name:,,,,,,
Sepeteri,,,,,Latitude (decimals):,8.8
,,,,,,
Elevation (m): 391,,,,Wind speed height (m): 2,,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
8/1/1995,20.4,27.7,1.89,7.740833333,10.092216,3.02
9/1/1995,19.9,28.9,1.68,7.996944444,11.4586,3.3
10/1/1995,19.8,30.4,1.53,8.83,13.931928,3.72
11/1/1995,18.6,32.9,1.85,10.1775,17.633272,4.72
12/1/1995,18.2,34,1.73,9.797777778,15.341552,4.43
1/1/1996,19.9,34,1.93,9.585833333,15.860432,4.57
2/1/1996,20.7,35.7,1.98,9.34,16.111224,4.93
3/1/1996,22.2,35,2.09,9.434166667,17.624624,5.11
4/1/1996,21.9,33.9,2.14,9.902777778,18.325112,5.13
5/1/1996,21.3,32.6,1.86,9.686388889,16.889544,4.58
6/1/1996,20.5,30.2,1.82,9.111666667,14.511344,3.91
7/1/1996,20,28.7,1.83,8.289444444,12.185032,3.42
8/1/1996,19.9,27.5,1.93,7.004722222,10.3776,3.08
9/1/1996,19.7,28,1.77,7.717222222,11.54508,3.25
10/1/1996,19.6,30.2,1.59,9.145555556,15.445328,3.94
11/1/1996,19.2,32.4,1.96,10.59611111,19.691496,4.94
12/1/1996,18.3,34.1,1.65,9.776666667,15.981504,4.45
1/1/1997,19.6,34.4,2.05,9.735277778,16.370664,4.8
2/1/1997,19.3,35.6,2.31,10.42194444,20.210376,5.79
3/1/1997,22,33.9,1.92,9.763888889,17.434368,4.81
4/1/1997,21.5,32.6,2.33,9.753055556,17.200872,4.89
5/1/1997,20.6,31.6,1.68,9.960833333,18.46348,4.59
6/1/1997,20.2,29.9,1.76,9.010833333,14.7016,3.88
7/1/1997,20.2,28.1,1.92,8.876111111,13.084424,3.49
8/1/1997,20,28,1.79,8.390277778,12.833632,3.41
9/1/1997,20.2,29.8,1.42,9.208055556,14.277848,3.65
10/1/1997,19.9,31.1,1.33,9.336111111,16.249592,3.99
11/1/1997,19.6,33,1.5,9.850833333,17.607328,4.43
12/1/1997,18.6,33.7,1.85,10.31444444,17.546792,4.73
1/1/1998,18.6,34.4,2.37,10.29944444,18.42024,5.35
2/1/1998,20.8,36.7,2.06,10.22277778,19.319632,5.58
3/1/1998,22.7,36.8,2.13,10.15138889,21.23084,5.94
4/1/1998,23.6,35.1,2.26,10.165,19.691496,5.51
5/1/1998,22.3,32.8,1.65,10.00055556,18.316464,4.66
6/1/1998,20.6,30.9,1.34,9.936111111,17.114392,4.1
7/1/1998,21,28.2,1.63,9.069722222,12.470416,3.25
8/1/1998,20,27.7,1.79,8.099444444,11.63156,3.21
9/1/1998,20.2,28.8,1.44,8.640833333,13.049832,3.38
10/1/1998,20.1,30.5,1.41,9.194444444,15.462624,3.86
11/1/1998,19.8,33.5,1.58,9.988611111,18.281872,4.64
12/1/1998,18.5,34,1.8,10.16722222,17.218168,4.7
1/1/1999,19.5,34.1,1.97,9.848333333,16.984672,4.77
2/1/1999,20.3,35,1.89,9.841944444,17.85812,5
3/1/1999,21.7,35.3,2.13,9.796111111,18.532664,5.35
4/1/1999,21.8,33.5,2.07,10.18555556,19.432056,5.19
5/1/1999,21.5,32.9,1.62,9.9125,19.855808,4.9
6/1/1999,20.8,31.2,1.56,9.7925,17.0798,4.24
7/1/1999,20.1,28.3,1.87,8.6475,11.76128,3.32
8/1/1999,19.9,27.3,1.91,8.35,11.406712,3.18
9/1/1999,19.7,28.1,1.52,8.131111111,11.50184,3.15
10/1/1999,19.5,29.8,1.33,8.7625,13.525472,3.49
11/1/1999,19.4,33,1.51,9.705833333,17.330592,4.41
12/1/1999,18,34.1,1.95,10.32638889,17.633272,4.91
1/1/2000,20.3,34.9,2.1,9.872222222,16.958728,4.95
2/1/2000,19.7,34.5,2.36,10.37805556,20.158488,5.6
3/1/2000,21.6,35.7,2.3,10.27,21.827552,6
4/1/2000,22.1,34.7,2.19,9.992777778,20.037416,5.53
5/1/2000,22,33.3,1.58,10.00444444,19.63096,4.88
6/1/2000,20.3,30.6,1.7,9.090833333,15.324256,4.02
7/1/2000,20.3,28.3,1.71,8.901666667,12.92876,3.4
8/1/2000,20,27.2,1.62,8.245,11.925592,3.12
9/1/2000,19.7,29.3,1.51,8.663333333,12.297456,3.39
10/1/2000,19.3,31.1,1.38,9.163333333,15.3502,3.92
11/1/2000,19.3,33.5,1.6,9.983611111,18.524016,4.69
12/1/2000,17.9,34.5,1.88,10.17694444,17.226816,4.87
1/1/2001,18.2,34.3,2.12,10.24333333,18.411592,5.16
2/1/2001,20.3,35.3,2.09,10.27694444,19.743384,5.45
3/1/2001,21.4,36.7,2,9.859722222,19.93364,5.69
4/1/2001,22.5,33.8,2.09,9.690833333,18.238632,5.04
5/1/2001,22.5,32.8,1.67,10.13777778,19.518536,4.84
6/1/2001,20.6,30.1,1.64,9.772222222,16.422552,4.06
7/1/2001,20.8,28.4,1.66,8.873333333,12.721208,3.33
8/1/2001,20.1,27.4,1.77,7.202777778,9.867368,2.92
9/1/2001,20.2,28.6,1.53,8.780555556,13.421696,3.45
10/1/2001,20.4,31.1,1.42,9.6475,17.884064,4.26
11/1/2001,20,33.6,1.67,9.860833333,18.29052,4.71
12/1/2001,19.2,34.9,1.77,10.13027778,17.010616,4.75
1/1/2002,19.4,32.2,2.33,10.35916667,18.472128,4.89
2/1/2002,20.4,35.8,2.04,10.03222222,18.930472,5.38
3/1/2002,22.3,35.9,2.07,9.815277778,19.700144,5.54
4/1/2002,22.4,33.9,2.09,9.919444444,18.541312,5.11
5/1/2002,21.9,33.3,1.69,10.21138889,21.455688,5.22
6/1/2002,20.8,30.9,1.76,9.108055556,15.877728,4.15
7/1/2002,20.9,29.1,1.44,8.905833333,13.006592,3.35
8/1/2002,20.5,28.1,1.59,8.869444444,12.513656,3.27
9/1/2002,20.4,28.9,1.56,9.141944444,14.667008,3.66
10/1/2002,20.3,30,1.4,9.269166667,15.159944,3.75
11/1/2002,20.1,33.3,1.44,9.763333333,17.296,4.37
12/1/2002,18.6,34.2,1.92,9.921666667,16.742528,4.77
1/1/2003,19.3,34.6,1.96,9.878888889,16.99332,4.85
2/1/2003,21.5,36.7,1.84,9.793055556,17.745696,5.15
3/1/2003,22.8,35.8,1.99,9.953055556,19.84716,5.46
4/1/2003,22.2,33.3,2.21,9.596388889,17.780288,4.98
5/1/2003,21.7,33.5,1.89,9.937222222,19.458,5.09
6/1/2003,20.7,30.1,1.61,9.149722222,14.545936,3.78
7/1/2003,20.5,28.4,1.71,8.801111111,13.10172,3.42
8/1/2003,20.4,27.8,1.7,8.194444444,11.06944,3.09
9/1/2003,20.5,28.9,1.45,8.6175,12.262864,3.27
10/1/2003,21.1,31.3,1.44,9.288055556,15.211832,3.9
11/1/2003,19.7,33.4,1.53,9.735277778,16.353368,4.34
12/1/2003,18.6,33.9,1.88,10.24972222,17.235464,4.75
1/1/2004,19.6,33.9,2.01,10.0825,16.73388,4.73
2/1/2004,21.1,35.3,1.93,10.01638889,18.411592,5.12
3/1/2004,22.8,34.6,2.05,9.888888889,19.93364,5.32
4/1/2004,22.5,33.5,2.09,9.495277778,15.626936,4.61
5/1/2004,21.8,31.4,1.82,9.090833333,15.592344,4.18
6/1/2004,20.4,30.1,1.61,9.646944444,15.817192,3.97
7/1/2004,20.5,27.9,1.33,8.636944444,11.994776,3.05
8/1/2004,20.4,27.8,1.65,7.817222222,11.190512,3.08
9/1/2004,20.5,29.4,1.32,9.030833333,13.1882,3.39
10/1/2004,20.1,31.5,1.42,9.308333333,15.635584,4
11/1/2004,20.2,32.9,1.53,9.591388889,15.687472,4.17
12/1/2004,19,34.4,1.62,9.9025,16.033392,4.44
1/1/2005,19.1,33,2.22,10.3325,18.351056,4.96
2/1/2005,22.8,36.1,1.96,9.7825,16.811712,4.96
3/1/2005,23.4,35.8,1.92,9.716388889,18.63644,5.21
4/1/2005,23.1,34.8,2.17,9.568888889,16.889544,5.02
5/1/2005,22.2,32.4,1.81,9.75,18.532664,4.72
6/1/2005,20.9,30.1,1.69,9.150277778,14.31244,3.78
7/1/2005,20.9,28.2,1.58,8.718611111,12.055312,3.18
8/1/2005,20.3,27.5,1.77,8.086111111,12.133144,3.23
9/1/2005,20.9,29.3,1.52,8.769722222,12.297456,3.33
10/1/2005,20.3,31,1.47,9.426944444,16.422552,4.08
11/1/2005,20.2,33.6,1.75,10.15361111,18.42024,4.78
12/1/2005,19.2,34.6,1.79,10.00527778,16.500384,4.66
1/1/2006,19.9,34.6,1.9,9.378888889,14.4854,4.46
2/1/2006,21.4,36.3,1.85,9.310833333,15.255072,4.76
3/1/2006,22.3,35.7,2.04,9.629166667,18.229984,5.27
4/1/2006,23,35.4,2.18,9.994166667,19.726088,5.55
5/1/2006,21.5,32,1.57,9.488611111,17.20952,4.37
6/1/2006,21.2,31.3,1.61,9.648055556,17.581384,4.34
7/1/2006,21.4,29.5,1.5,8.633611111,12.634728,3.35
8/1/2006,20.6,27.8,1.5,7.989166667,10.714872,2.94
9/1/2006,20.7,28.5,1.51,8.479166667,11.821816,3.18
10/1/2006,21,30.8,1.39,9.509722222,16.284184,3.97
11/1/2006,19.9,32.5,1.84,10.48,19.302336,4.81
12/1/2006,18.6,33.5,1.99,10.51583333,18.33376,4.9
1/1/2007,18.6,33,2.36,10.4675,18.843992,5.14
2/1/2007,20.9,36.6,2.02,10.07972222,18.50672,5.42
3/1/2007,22.8,36.2,2.18,10.21472222,21.421096,5.89
4/1/2007,23,33.8,2.29,10.35388889,20.270912,5.42
5/1/2007,22,32.3,1.7,10.41555556,21.507576,5.09
6/1/2007,20.6,30.1,1.9,9.820277778,17.806232,4.37
7/1/2007,21,28.6,1.68,8.836944444,12.677968,3.35
8/1/2007,20.7,27.8,1.67,7.963888889,10.126808,2.93
9/1/2007,20.6,29.1,1.54,8.649166667,12.245568,3.33
10/1/2007,20.3,31.3,1.49,9.326944444,15.990152,4.07
11/1/2007,19.6,33,1.54,9.573611111,16.99332,4.38
12/1/2007,19.3,33.7,1.8,10.11444444,16.958728,4.59
1/1/2008,18.4,32.1,2.37,10.39194444,18.091616,4.91
2/1/2008,20.8,35.4,2.15,10.36083333,20.115248,5.54
3/1/2008,21.8,36.2,2.14,9.953611111,20.23632,5.74
4/1/2008,22.5,34.6,2.06,10.27805556,20.807088,5.53
5/1/2008,21.6,32.3,1.56,10.18722222,19.259096,4.7
6/1/2008,20.9,30.6,1.68,9.651944444,17.754344,4.32
7/1/2008,20.9,28.3,1.55,8.99,14.18272,3.47
8/1/2008,20.5,27.5,1.69,8.550277778,12.392584,3.22
9/1/2008,20.8,29,1.54,9.143611111,13.776264,3.52
10/1/2008,20.8,30.9,1.48,9.533611111,17.157632,4.16
11/1/2008,19.7,33.7,1.63,10.13972222,18.627792,4.75
12/1/2008,19.3,34.4,1.73,10.03861111,16.47444,4.57
1/1/2009,19.1,34.1,2.08,10.14638889,17.261408,4.91
2/1/2009,21.6,36.3,1.87,9.69,17.572736,5.09
3/1/2009,22.8,35.7,2.05,10.01055556,19.855808,5.49
4/1/2009,22,33.8,2.1,9.971388889,18.411592,5.1
5/1/2009,22,32.9,1.65,9.971111111,19.855808,4.91
6/1/2009,21,30.9,1.69,9.764722222,17.849472,4.37
7/1/2009,21.1,28.6,1.51,9.003055556,14.407568,3.51
8/1/2009,20.8,27.8,1.48,8.421111111,12.444472,3.16
9/1/2009,20.9,29.1,1.39,9.060833333,13.655192,3.44
10/1/2009,21.2,30.3,1.49,8.913611111,14.329736,3.68
11/1/2009,20,32.5,1.75,10.10527778,17.953248,4.57
12/1/2009,19.1,35.2,1.79,10.31055556,17.278704,4.85
1/1/2010,19.2,35.6,2.06,10.13472222,17.451664,5.16
2/1/2010,22.1,37,2.04,9.959444444,18.498072,5.44
3/1/2010,23.5,36,2.08,9.973888889,20.184432,5.58
4/1/2010,23,35.1,2.22,10.14722222,20.19308,5.6
5/1/2010,22.5,32.8,1.79,9.903611111,19.0256,4.83
6/1/2010,21.4,31.1,1.66,9.752222222,16.725232,4.21
7/1/2010,21,28.7,1.69,9.032222222,14.165424,3.57
8/1/2010,20.7,28,1.53,8.515277778,12.747152,3.25
9/1/2010,20.6,28.6,1.41,8.613611111,12.444472,3.24
10/1/2010,20.8,30.1,1.41,9.213333333,14.87456,3.71
11/1/2010,20.1,33.1,1.45,9.895,17.304648,4.35
12/1/2010,18.2,34.7,1.81,10.3375,17.451664,4.85
1/1/2011,18.7,34,2.16,10.30888889,18.428888,5.11
2/1/2011,21.1,35.6,1.85,9.7225,16.38796,4.83
3/1/2011,22.5,35.9,2.04,10.01083333,20.175784,5.58
4/1/2011,22.5,34.8,2.18,10.58972222,21.939976,5.8
5/1/2011,22,33.1,1.73,10.14055556,20.011472,5
6/1/2011,21.3,31,1.76,9.903611111,18.42024,4.49
7/1/2011,20.8,29,1.53,9.901111111,15.981504,3.8
8/1/2011,20.3,28.3,1.61,8.486944444,12.505008,3.31
9/1/2011,20.6,29,1.47,9.008611111,13.326568,3.43
10/1/2011,20.9,30.4,1.5,9.510833333,16.327424,3.99
11/1/2011,19.5,33.4,1.53,10.06638889,18.93912,4.68
