Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
9/1/1994,20.1,28.7,1.68,8.193611111,11.65536,3.29
10/1/1994,20,30.1,1.29,8.725555556,13.65984,3.52
11/1/1994,19.3,32.6,1.38,10.11916667,18.50688,4.5
12/1/1994,19.3,31.8,2.02,10.45333333,18.43776,4.75
1/1/1995,18.4,34.2,2.07,10.22333333,18.03168,5.17
2/1/1995,20.7,35.6,1.86,9.893333333,18.07488,5.17
3/1/1995,22.1,34.5,2.03,9.449444444,18.0144,5.1
4/1/1995,22.3,33.3,2.15,9.489722222,17.89344,4.96
5/1/1995,21.3,32.2,1.69,9.709166667,18.36864,4.6
6/1/1995,20.5,30.5,1.74,8.985555556,15.6384,4.01
7/1/1995,20.6,28.3,1.8,8.161944444,11.87136,3.23
8/1/1995,20.3,27.7,1.89,7.622777778,10.22112,3.02
9/1/1995,20,29,1.65,7.935277778,11.37888,3.28
10/1/1995,20,30.4,1.5,8.841388889,14.24736,3.76
11/1/1995,19.2,32.9,1.5,10.18305556,17.66016,4.52
12/1/1995,19.2,33.7,1.55,9.617777778,15.0768,4.27
1/1/1996,20.7,33.7,1.92,9.448055556,15.64704,4.55
2/1/1996,21.5,35.3,1.94,9.270277778,16.10496,4.88
3/1/1996,22.4,34.7,2,9.358055556,17.82432,5.07
4/1/1996,21.8,33.3,2.07,9.932777778,18.48096,5.02
5/1/1996,21.2,32.4,1.8,9.578333333,17.07264,4.52
6/1/1996,20.5,30.3,1.67,8.963333333,14.16096,3.75
7/1/1996,20.1,28.8,1.78,8.238333333,12.12192,3.35
8/1/1996,19.9,27.6,1.94,6.893888889,10.27296,3.07
9/1/1996,19.8,28.2,1.69,7.988888889,11.95776,3.29
10/1/1996,20,30.3,1.55,9.136111111,15.61248,3.96
11/1/1996,20,32.7,1.58,10.57027778,19.62144,4.78
12/1/1996,19.5,33.9,1.5,9.576388889,15.5088,4.29
1/1/1997,20.4,34.2,2,9.559444444,16.19136,4.77
2/1/1997,20.1,35.7,2.22,10.46305556,20.81376,5.88
3/1/1997,22.3,33.9,1.88,9.675555556,17.97984,4.89
4/1/1997,21.6,32.4,2.22,9.759444444,17.5392,4.84
5/1/1997,20.7,31.6,1.64,9.968611111,18.49824,4.53
6/1/1997,20.2,29.9,1.62,8.88,14.31648,3.71
7/1/1997,20.1,28.1,1.85,8.585,12.9168,3.39
8/1/1997,19.8,28,1.79,8.156388889,12.64896,3.36
9/1/1997,20.3,29.9,1.37,9.228333333,14.29056,3.62
10/1/1997,20.1,31.1,1.31,9.407222222,16.5888,4.05
11/1/1997,20.2,32.7,1.29,9.815833333,17.69472,4.32
12/1/1997,19.7,33.4,1.66,10.23222222,17.496,4.61
1/1/1998,19.3,34.2,2.3,10.23611111,18.7488,5.39
2/1/1998,21.7,36.6,1.97,10.17861111,19.8288,5.62
3/1/1998,23.1,36.7,2.03,10.1025,21.50496,5.92
4/1/1998,23.6,34.7,2.17,10.10194444,19.82016,5.41
5/1/1998,22.4,32.9,1.58,10.17527778,18.58464,4.63
6/1/1998,20.5,31,1.25,9.923888889,16.9344,3.97
7/1/1998,21,28.2,1.59,8.942777778,12.45888,3.19
8/1/1998,19.9,27.8,1.77,7.775,11.77632,3.21
9/1/1998,20.2,29,1.38,8.481388889,12.82176,3.33
10/1/1998,20.4,30.6,1.39,9.131111111,15.64704,3.9
11/1/1998,20.5,33.4,1.3,10.03888889,18.2736,4.48
12/1/1998,19.7,33.8,1.61,10.10861111,17.08992,4.57
1/1/1999,20.3,33.9,1.96,9.664166667,16.79616,4.78
2/1/1999,21.1,34.7,1.86,9.783055556,18.07488,5.02
3/1/1999,21.7,34.7,1.98,9.714722222,18.69696,5.21
4/1/1999,21.7,33.1,1.97,10.09888889,19.62144,5.1
5/1/1999,21.5,32.8,1.56,9.945,19.76832,4.8
6/1/1999,20.6,31.1,1.42,9.6975,16.47648,4.01
7/1/1999,20.2,28.4,1.78,8.520833333,11.7504,3.25
8/1/1999,19.8,27.4,1.87,8.256944444,11.61216,3.19
9/1/1999,19.8,28.2,1.45,8.226944444,11.72448,3.14
10/1/1999,19.9,29.9,1.33,8.589722222,13.5216,3.51
11/1/1999,20.2,33.1,1.25,9.594722222,17.24544,4.27
12/1/1999,19.2,34.1,1.71,10.295,17.6688,4.79
1/1/2000,21.2,34.9,2.02,9.734444444,16.78752,4.93
2/1/2000,20.6,34.6,2.26,10.34666667,20.6928,5.66
3/1/2000,22.1,35.7,2.17,10.2825,22.09248,5.98
4/1/2000,22.1,34.3,2.1,9.959444444,20.1312,5.42
5/1/2000,21.9,33.2,1.54,10.03222222,19.72512,4.82
6/1/2000,20.3,30.6,1.56,8.975833333,14.98176,3.84
7/1/2000,20.4,28.4,1.66,8.969722222,13.08096,3.36
8/1/2000,20,27.3,1.65,8.128055556,11.87136,3.1
9/1/2000,19.8,29.4,1.45,8.535833333,12.0528,3.32
10/1/2000,19.7,31.1,1.36,9.279444444,15.67296,3.96
11/1/2000,20.1,33.6,1.34,9.995,18.52416,4.57
12/1/2000,19.2,34.6,1.67,10.06833333,17.20224,4.76
1/1/2001,19.2,34.4,2.03,10.09305556,18.42912,5.18
2/1/2001,21.3,35.4,2.03,10.22333333,20.11392,5.52
3/1/2001,22,36.7,1.95,9.768055556,19.92384,5.68
4/1/2001,22.5,33.5,2.06,9.682222222,18.5328,5.02
5/1/2001,22.5,32.7,1.63,10.1775,19.56096,4.77
6/1/2001,20.6,30.1,1.54,9.718611111,15.99264,3.89
7/1/2001,20.8,28.4,1.63,8.746111111,12.4848,3.24
8/1/2001,20,27.4,1.78,6.986388889,9.87552,2.91
