Station name:,,,,,,
Middle Ogun Project,,,,,Latitude (decimals):,7.9
,,,,,,
Elevation (m):,,223,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
11/1/2002,21.9,33.2,1.04,9.676666667,16.83072,3.99
12/1/2002,20.4,34.3,1.31,9.879444444,16.58016,4.22
1/1/2003,21.1,34.4,1.21,9.8025,15.99264,4.04
2/1/2003,23,36.2,1.69,9.717777778,16.01856,4.67
3/1/2003,24,35.7,1.75,9.906666667,18.62784,5.07
4/1/2003,22.9,33.1,2.14,9.511111111,16.8912,4.74
5/1/2003,22.5,33.5,1.73,9.873611111,18.49824,4.81
6/1/2003,21.7,30.1,1.56,9.023333333,13.46976,3.56
7/1/2003,21.3,28.8,1.64,8.940555556,13.0896,3.39
8/1/2003,21.2,28.3,1.73,7.768333333,10.50624,3.03
9/1/2003,21.8,29.4,1.53,8.541666667,11.37024,3.17
10/1/2003,22.5,31.3,1.27,9.198055556,14.23008,3.62
11/1/2003,21.5,33.2,1.06,9.631666667,15.51744,3.82
12/1/2003,20.6,34,1.28,10.15055556,16.75296,4.18
1/1/2004,21.5,33.8,1.22,9.956111111,15.8544,3.96
2/1/2004,22.7,35.1,1.72,9.851944444,17.07264,4.7
3/1/2004,24,34.6,1.81,9.856388889,18.8784,4.99
4/1/2004,23.1,33.2,2.09,9.448055556,14.93856,4.43
5/1/2004,22.6,31.4,1.68,9.174722222,15.22368,4.01
6/1/2004,21.5,30.1,1.53,9.55,14.66208,3.72
7/1/2004,21.4,28.3,1.35,8.500833333,11.24064,2.95
8/1/2004,21.2,28.1,1.66,7.9525,11.05056,3.05
9/1/2004,21.6,29.8,1.38,8.983888889,12.20832,3.28
10/1/2004,21.4,31.3,1.19,9.1725,14.6016,3.66
11/1/2004,22,32.7,1.13,9.506111111,14.98176,3.73
12/1/2004,21.1,34.5,1.17,9.760277778,15.31008,3.93
1/1/2005,20.8,33.1,1.49,10.27416667,18.1008,4.4
2/1/2005,24.1,35.7,1.79,9.7325,15.65568,4.57
3/1/2005,24.3,35.5,1.69,9.681111111,17.66016,4.84
4/1/2005,23.7,34.4,2.15,9.519166667,16.13952,4.8
5/1/2005,22.9,32.4,1.7,9.705277778,17.6256,4.5
6/1/2005,22,30,1.68,8.735277778,12.96864,3.51
7/1/2005,21.7,28.6,1.57,8.311388889,11.03328,3.03
8/1/2005,21.1,27.9,1.7,7.801388889,11.76768,3.15
9/1/2005,22,29.6,1.59,8.532222222,11.37888,3.21
10/1/2005,21.6,30.9,1.27,9.383333333,15.8544,3.84
11/1/2005,22.2,33.5,1.18,9.914444444,17.55648,4.22
12/1/2005,21.1,34.7,1.24,9.858888889,15.62976,4.06
1/1/2006,21.7,34.2,1.21,9.125555556,12.96864,3.6
2/1/2006,23,35.9,1.75,9.247222222,13.35744,4.29
3/1/2006,23.4,35.4,1.78,9.565555556,16.6752,4.77
4/1/2006,23.6,35,2.09,9.89,18.62784,5.24
5/1/2006,22.3,32,1.45,9.350555556,16.49376,4.17
6/1/2006,22.1,31.3,1.51,9.52,16.36416,4.07
7/1/2006,22.2,29.8,1.48,7.990833333,11.24064,3.13
8/1/2006,21.5,28.2,1.58,7.4675,9.87552,2.85
9/1/2006,21.8,28.9,1.57,8.191111111,10.92096,3.07
10/1/2006,22.2,30.8,1.17,9.490555556,15.86304,3.77
11/1/2006,21.7,32.5,1.14,10.34527778,18.94752,4.3
12/1/2006,20.7,33.6,1.35,10.48138889,18.43776,4.41
1/1/2007,20.2,32.8,1.64,10.45111111,19.01664,4.59
2/1/2007,22.4,36.3,1.81,9.951388889,17.13312,4.96
3/1/2007,24,36,1.9,10.055,19.9152,5.41
4/1/2007,23.5,33.5,2.18,10.29055556,19.54368,5.18
5/1/2007,22.7,32.4,1.57,10.31083333,20.51136,4.87
6/1/2007,21.6,30.1,1.83,9.562777778,15.95808,4.03
7/1/2007,22,29,1.63,8.615,11.69856,3.18
8/1/2007,21.5,28.2,1.75,7.583333333,9.2016,2.83
9/1/2007,21.8,29.6,1.57,8.476111111,11.34432,3.21
10/1/2007,21.6,31.2,1.25,9.168611111,14.83488,3.71
11/1/2007,21.5,32.8,1.1,9.475277778,16.10496,3.89
12/1/2007,21.2,33.7,1.26,10.03138889,16.68384,4.11
1/1/2008,20.2,32,1.54,10.33972222,17.70336,4.26
2/1/2008,22.4,35.1,1.86,10.28361111,19.24128,5.12
3/1/2008,22.9,36.1,1.9,9.911388889,18.45504,5.26
4/1/2008,23.1,34.2,1.96,10.13583333,19.60416,5.2
5/1/2008,22.4,32.5,1.45,10.0125,18.42048,4.51
6/1/2008,21.9,30.5,1.56,9.169722222,16.16544,3.98
7/1/2008,21.9,28.7,1.48,9.121388889,13.12416,3.29
8/1/2008,21.4,27.9,1.67,8.286388889,11.6208,3.1
9/1/2008,21.8,29.4,1.63,8.930555556,12.528,3.38
10/1/2008,22.2,31,1.26,9.401111111,16.13088,3.87
11/1/2008,21.6,33.6,1.08,9.999166667,17.9712,4.22
12/1/2008,21.2,34.4,1.2,9.924166667,16.04448,4.05
1/1/2009,20.9,34,1.35,10.01333333,16.65792,4.21
2/1/2009,23,35.8,1.76,9.553611111,15.49152,4.59
3/1/2009,23.7,35.6,1.83,9.891111111,18.0576,5.03
4/1/2009,22.6,33.3,2.04,9.826388889,17.65152,4.84
5/1/2009,22.7,32.9,1.53,10.00083333,19.20672,4.72
6/1/2009,21.9,30.8,1.56,9.526666667,16.22592,4.02
7/1/2009,22.1,28.9,1.45,8.566944444,12.99456,3.27
8/1/2009,21.6,28,1.45,8.358888889,12.01824,3.07
9/1/2009,22,29.6,1.43,8.864722222,12.96,3.37
10/1/2009,22.5,30.3,1.25,8.803888889,13.90176,3.46
11/1/2009,21.8,32.6,1.19,10.085,17.65152,4.15
12/1/2009,21,35.3,1.3,10.26166667,17.02944,4.37
1/1/2010,21.1,35.4,1.32,9.989722222,16.39008,4.3
2/1/2010,23.8,36.5,1.89,9.856666667,16.81344,4.94
3/1/2010,24.6,35.7,1.82,9.874166667,18.75744,5.11
4/1/2010,23.6,34.9,2.17,10.10194444,19.15488,5.35
5/1/2010,23.2,32.8,1.65,9.759722222,18.13536,4.59
6/1/2010,22.5,31,1.56,9.373333333,14.91264,3.84
7/1/2010,22,29.1,1.61,8.937222222,13.36608,3.42
8/1/2010,21.6,28.4,1.5,8.347222222,12.11328,3.15
9/1/2010,21.7,29.1,1.48,8.173055556,11.45664,3.13
10/1/2010,22.2,30.3,1.16,9.183055556,14.54976,3.52
11/1/2010,21.9,33.2,1.06,9.737222222,16.57152,3.97
12/1/2010,20.3,34.8,1.28,10.27777778,16.96896,4.3
1/1/2011,20.3,33.7,1.4,10.21361111,18.19584,4.42
2/1/2011,22.5,35.2,1.74,9.603888889,14.72256,4.4
3/1/2011,23.6,35.5,1.81,9.879444444,18.69696,5.1
4/1/2011,23.1,34.5,2.1,10.43833333,21.0816,5.55
5/1/2011,22.8,33.1,1.62,10.06222222,19.24992,4.8
6/1/2011,22.3,30.9,1.6,9.688333333,16.92576,4.14
7/1/2011,21.7,29.4,1.45,9.617222222,14.57568,3.57
8/1/2011,21.1,28.7,1.63,8.274166667,11.80224,3.22
9/1/2011,21.7,29.5,1.49,8.725555556,12.07872,3.27
10/1/2011,22.2,30.3,1.25,9.311388889,15.45696,3.7
11/1/2011,21.5,33.2,1.05,9.898055556,17.98848,4.17
12/1/2011,19.9,33.7,1.38,10.47888889,18.09216,4.41
1/1/2012,20.5,34,1.4,10.11666667,17.11584,4.31
2/1/2012,22.3,35,1.75,9.405,15.15456,4.46
3/1/2012,23.1,35.7,1.72,9.9,19.08576,5.15
