Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
5/1/1994,22.2,32.1,1.49,10.32166667,19.2,4.6
6/1/1994,20.8,30.8,1.61,9.297222222,14.5,3.85
7/1/1994,20.9,28.6,1.94,8.776111111,12.5,3.43
8/1/1994,21.1,27.8,2.04,7.261944444,10.7,3.12
9/1/1994,20.9,29.4,1.68,8.336111111,11.7,3.34
10/1/1994,20.6,30.8,1.04,8.968055556,14.3,3.49
11/1/1994,20.8,33.1,0.93,10.15694444,18.5,4.14
12/1/1994,21.1,32,1.43,10.39805556,18.7,4.31
1/1/1995,20.1,35.2,1.27,10.09472222,17.4,4.4
2/1/1995,22.2,35.7,1.66,9.838611111,16.3,4.66
3/1/1995,22.9,34.3,1.75,9.781111111,17,4.68
4/1/1995,22.9,33.3,1.8,9.810555556,17.6,4.68
5/1/1995,22.3,32.5,1.43,10.10388889,18.3,4.49
6/1/1995,21.2,30.8,1.57,9.289444444,15.1,3.9
7/1/1995,21.4,29,1.71,8.261111111,11.5,3.22
8/1/1995,21.3,28.4,1.87,8.137222222,10.6,3.1
9/1/1995,20.9,29.6,1.69,8.374166667,11.4,3.33
10/1/1995,20.9,30.8,1.2,9.100833333,14.5,3.61
11/1/1995,20.6,33.4,1.02,10.17472222,17.8,4.14
12/1/1995,21,33.9,1.04,9.8225,14.6,3.68
1/1/1996,22.5,33.9,1.14,9.4625,14.5,3.71
2/1/1996,22.9,35,1.83,9.531388889,14.5,4.39
3/1/1996,23.1,34.5,1.72,9.800833333,16.7,4.62
4/1/1996,22.6,33.3,1.78,10.14222222,18,4.74
5/1/1996,22.2,32.5,1.55,9.591388889,16.9,4.34
6/1/1996,21.3,30.7,1.52,8.9875,13.5,3.62
7/1/1996,20.8,29.6,1.67,8.573055556,12.1,3.39
8/1/1996,20.7,28.3,1.91,7.333055556,10.2,3.11
9/1/1996,20.6,28.7,1.68,8.595277778,12.6,3.39
10/1/1996,20.7,30.7,1.24,9.207777778,15.6,3.8
11/1/1996,21.5,33.1,1.12,10.45083333,19.6,4.44
12/1/1996,21.4,33.9,1.03,9.715555556,14.7,3.68
1/1/1997,22,34.5,1.17,9.538055556,15.2,3.9
2/1/1997,21.1,36.2,1.96,10.38527778,20.2,5.56
3/1/1997,23,33.9,1.62,10.02527778,17.2,4.56
4/1/1997,22.3,32.3,1.86,9.960833333,17.2,4.54
5/1/1997,21.7,31.9,1.44,10.11833333,18.3,4.43
6/1/1997,21,30.2,1.49,8.971666667,13.7,3.59
7/1/1997,20.8,28.7,1.75,8.681944444,12.8,3.42
8/1/1997,20.5,28.6,1.78,8.167777778,12.6,3.42
