Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
2/1/1991,23.3,33.2,1.73,9.773055556,14.80896,4.1
3/1/1991,24,33.2,1.58,9.938333333,18.2304,4.57
4/1/1991,22.5,31.3,1.79,9.936944444,17.25408,4.36
5/1/1991,22.4,30.8,1.71,9.298055556,15.58656,4.01
6/1/1991,21.6,30.2,1.34,9.305555556,14.0832,3.54
7/1/1991,21.3,27.9,1.92,8.376944444,10.82592,3.08
8/1/1991,21.1,27,2.03,8.788333333,11.43936,3.1
9/1/1991,21.2,28.9,1.32,8.733888889,12.32064,3.18
10/1/1991,20.8,28.9,1.35,8.765833333,14.5584,3.51
11/1/1991,21.8,31.4,1.11,9.846944444,17.08992,3.91
12/1/1991,20.3,32.2,1.12,9.985277778,16.86528,3.9
1/1/1992,19.1,32.7,1.67,10.32138889,19.46592,4.7
2/1/1992,21.7,34.8,1.55,10.12083333,20.4768,5.06
3/1/1992,23.7,34.3,1.88,10.01194444,19.37952,5.07
4/1/1992,23.7,33,1.82,10.00944444,18.37728,4.73
5/1/1992,22.2,31.1,1.43,9.9475,17.17632,4.15
6/1/1992,21,29.2,1.77,9.095,13.824,3.62
7/1/1992,20.8,27.5,2.13,7.546944444,9.60768,2.98
8/1/1992,20.6,26.9,2.05,8.289444444,11.78496,3.17
9/1/1992,21,27.7,1.56,8.069722222,11.3184,3.02
10/1/1992,21,29.9,1.21,9.620555556,15.49152,3.67
11/1/1992,20.7,31.6,1.06,10.015,17.74656,4
12/1/1992,21.3,33.7,1.12,10.09888889,16.55424,4
1/1/1993,19.3,32.9,1.46,10.22805556,18.81792,4.49
2/1/1993,21.6,34.9,1.64,9.943055556,17.46144,4.72
3/1/1993,22,33.2,1.57,9.950277778,18.52416,4.66
4/1/1993,22.5,33.1,1.92,9.895,18.63648,4.89
5/1/1993,22.2,31.6,1.65,9.821666667,17.37504,4.35
6/1/1993,21.5,29.5,1.54,9.490555556,15.2064,3.72
7/1/1993,20.7,27.8,1.72,8.4275,11.25792,3.08
8/1/1993,20.9,27.8,1.76,8.883055556,12.19104,3.22
9/1/1993,20.7,29.1,1.25,8.544722222,11.93184,3.13
10/1/1993,21.4,30.6,0.99,9.598611111,15.8544,3.66
11/1/1993,21.6,32.6,1.05,9.6775,15.41376,3.75
12/1/1993,21,32.8,0.97,9.988055556,15.984,3.72
1/1/1994,21.4,32.2,1.37,9.855277778,16.09632,3.94
2/1/1994,23.2,33.7,1.57,9.958611111,18.46368,4.61
3/1/1994,23.5,33.7,1.8,9.968888889,18.69696,4.84
4/1/1994,22.9,32,1.89,10.085,18.25632,4.64
5/1/1994,22.1,31.2,1.41,10.22944444,18.86976,4.4
6/1/1994,21,29.9,1.65,9.186111111,14.06592,3.69
7/1/1994,20.9,27.8,2.06,8.906111111,11.9232,3.29
8/1/1994,21.2,27.2,2.05,7.619444444,10.6272,3.02
9/1/1994,21.1,28.7,1.76,8.412777778,11.3616,3.23
10/1/1994,20.9,29.7,0.98,8.902222222,13.64256,3.27
11/1/1994,21,32,0.87,10.19472222,18.19584,3.97
12/1/1994,21,31.2,1.44,10.36583333,18.89568,4.26
1/1/1995,19.9,33.8,1.24,10.11138889,17.43552,4.23
2/1/1995,22.2,34.5,1.44,9.941111111,16.6752,4.39
3/1/1995,23.2,33.2,1.56,9.901944444,17.67744,4.5
4/1/1995,23,32.5,1.75,9.830833333,18.0144,4.6
5/1/1995,22.2,31.6,1.34,10.19444444,18.30816,4.33
6/1/1995,21.4,29.8,1.55,9.2675,14.62752,3.68
7/1/1995,21.4,28.1,1.8,8.248611111,10.66176,3.03
8/1/1995,21.4,27.8,1.81,8.267777778,10.13472,2.93
9/1/1995,21.1,28.9,1.77,8.495555556,11.08512,3.22
10/1/1995,21.2,29.7,1.2,8.997222222,13.75488,3.39
11/1/1995,20.9,32.4,0.99,10.09638889,17.51328,3.99
12/1/1995,20.9,33.1,1.1,9.769722222,14.61024,3.66
1/1/1996,22.5,32.4,1.18,9.461111111,14.33376,3.57
2/1/1996,22.9,33.8,1.74,9.564722222,14.7312,4.2
3/1/1996,23.4,33.4,1.51,9.796666667,17.09856,4.4
4/1/1996,22.6,32.5,1.73,10.11361111,18.12672,4.62
5/1/1996,22.1,31.7,1.47,9.558611111,16.65792,4.17
6/1/1996,21.5,29.8,1.55,8.682777778,12.95136,3.45
7/1/1996,20.8,28.7,1.74,8.748888889,11.64672,3.25
8/1/1996,20.8,27.6,1.84,7.411666667,9.92736,2.93
9/1/1996,20.9,28,1.75,8.626944444,12.41568,3.29
10/1/1996,21.1,29.6,1.21,9.057777778,15.05952,3.57
11/1/1996,21.9,31.9,1.11,10.28333333,19.29312,4.27
12/1/1996,21.3,33,1.13,9.641111111,14.61024,3.67
1/1/1997,22,33.1,1.19,9.575,15.26688,3.79
2/1/1997,21.1,35.1,1.71,10.22888889,20.92608,5.29
3/1/1997,23.1,32.9,1.41,9.977222222,17.96256,4.42
4/1/1997,22.4,31.5,1.84,9.922222222,17.35776,4.43
